route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"ERS",1,20,"East River Midtown Shuttle",30101,1,301,112
"ERS",1,21,"East River Midtown Shuttle",30201,1,302,112
"ERS",1,99,"East River Midtown Shuttle",30102,1,301,112
"RWS",1,258,"Rockaway",20103,0,201,27
"RWS",1,259,"Rockaway",20105,0,201,27
"RWS",1,260,"Rockaway",20107,0,201,27
"RWS",1,261,"Rockaway",20109,0,201,27
"RWS",1,262,"Rockaway",20111,0,201,27
"RWS",1,263,"Rockaway",20113,0,201,27
"ERS",1,264,"East River Midtown Shuttle",30202,1,302,112
"ERS",1,265,"East River Midtown Shuttle",30103,1,301,112
"ERS",1,266,"East River Midtown Shuttle",30203,1,302,112
"ERS",1,267,"East River Midtown Shuttle",30104,1,301,112
"ERS",1,268,"East River Midtown Shuttle",30204,1,302,112
"ERS",1,269,"East River Midtown Shuttle",30105,1,301,112
"ERS",1,270,"East River Midtown Shuttle",30205,1,302,112
"ERS",1,271,"East River Midtown Shuttle",30106,1,301,113
"ERS",1,272,"East River Midtown Shuttle",30206,1,302,113
"ERS",1,277,"East River Midtown Shuttle",30107,1,301,112
"ERS",1,278,"East River Midtown Shuttle",30207,1,302,112
"ERS",1,279,"East River Midtown Shuttle",30108,1,301,112
"ERS",1,280,"East River Midtown Shuttle",30208,1,302,112
"ERS",1,281,"East River Midtown Shuttle",30109,1,301,112
"ERS",1,282,"East River Midtown Shuttle",30209,1,302,112
"ERS",1,283,"East River Midtown Shuttle",30110,1,301,112
"ERS",1,284,"East River Midtown Shuttle",30210,1,302,112
"ERS",1,285,"East River Midtown Shuttle",30111,1,301,113
"RES",1,287,"Rockaway East",10104,1,101,37
"RES",1,288,"Rockaway East",10106,1,101,37
"RES",1,289,"Rockaway East",10108,1,101,37
"RES",1,290,"Rockaway East",10110,1,101,37
"RES",1,291,"Rockaway East",10112,1,101,37
"RES",1,292,"Rockaway East",10114,1,101,37
"ERS",1,293,"East River Midtown Shuttle",30211,1,302,113
"AS",1,320,"Wall St./Pier 11",4205,0,42,108
"RWS",1,333,"Rockaway West",20104,1,201,38
"RWS",1,334,"Rockaway West",20106,1,201,38
"RWS",1,335,"Rockaway West",20108,1,201,38
"RWS",1,336,"Rockaway West",20110,1,201,38
"RWS",1,337,"Rockaway West",20112,1,201,38
"RWS",1,338,"Rockaway West",20114,1,201,38
"SV",1,402,"Ferry Point Park",6301,1,63,15
"SV",1,403,"Ferry Point Park",6103,1,61,15
